timestamp,controller_id,switch_count,total_packet_ins,total_flows,total_bytes
2026-01-31T04:35:37.101281,1,0,0.0000,0,0
2026-01-31T04:35:42.102016,1,0,0.0000,0,0
2026-01-31T04:35:47.107174,1,0,0.0000,0,0
2026-01-31T04:35:52.112279,1,0,0.0000,0,0
2026-01-31T04:35:57.117821,1,0,0.0000,0,0
2026-01-31T04:36:02.121119,1,0,0.0000,0,0
2026-01-31T04:36:07.123895,1,0,0.0000,0,0
2026-01-31T04:36:12.125597,1,0,0.0000,0,0
2026-01-31T04:36:17.130164,1,0,0.0000,0,0
2026-01-31T04:36:22.136129,1,0,0.0000,0,0
2026-01-31T04:36:27.141261,1,0,0.0000,0,0
2026-01-31T04:36:32.147209,1,0,0.0000,0,0
2026-01-31T04:36:37.149755,1,0,0.0000,0,0
2026-01-31T04:36:42.152091,1,0,0.0000,0,0
2026-01-31T04:36:47.158151,1,0,0.0000,0,0
2026-01-31T04:36:52.163287,1,0,0.0000,0,0
2026-01-31T04:36:57.168258,1,0,0.0000,0,0
2026-01-31T04:37:02.173822,1,0,0.0000,0,0
2026-01-31T04:37:07.179440,1,0,0.0000,0,0
2026-01-31T04:37:12.181466,1,0,0.0000,0,0
2026-01-31T04:37:17.184427,1,0,0.0000,0,0
2026-01-31T04:37:22.188019,1,0,0.0000,0,0
2026-01-31T04:37:27.194240,1,0,0.0000,0,0
2026-01-31T04:37:32.197646,1,0,0.0000,0,0
2026-01-31T04:37:37.203528,1,0,0.0000,0,0
2026-01-31T04:37:42.204964,1,0,0.0000,0,0
2026-01-31T04:37:47.210164,1,0,0.0000,0,0
2026-01-31T04:37:52.215918,1,0,0.0000,0,0
2026-01-31T04:37:57.222337,1,0,0.0000,0,0
2026-01-31T04:38:02.228399,1,0,0.0000,0,0
2026-01-31T04:38:07.234353,1,0,0.0000,0,0
2026-01-31T04:38:12.236176,1,0,0.0000,0,0
2026-01-31T04:38:17.241160,1,0,0.0000,0,0
2026-01-31T04:38:22.242390,1,0,0.0000,0,0
2026-01-31T04:38:27.248346,1,0,0.0000,0,0
2026-01-31T04:38:32.254163,1,0,0.0000,0,0
2026-01-31T04:38:37.260406,1,0,0.0000,0,0
