timestamp,controller_id,switch_count,total_packet_ins,total_flows,total_bytes
2026-01-31T04:43:11.379608,1,0,0.0000,0,0
2026-01-31T04:43:16.380331,1,0,0.0000,0,0
2026-01-31T04:43:21.386322,1,0,0.0000,0,0
2026-01-31T04:43:26.392110,1,0,0.0000,0,0
2026-01-31T04:43:31.397745,1,0,0.0000,0,0
2026-01-31T04:43:36.403844,1,0,0.0000,0,0
2026-01-31T04:43:41.409947,1,0,0.0000,0,0
2026-01-31T04:43:46.411582,1,0,0.0000,0,0
2026-01-31T04:43:51.417087,1,0,0.0000,0,0
2026-01-31T04:43:56.421051,1,0,0.0000,0,0
2026-01-31T04:44:01.426148,1,0,0.0000,0,0
